player_id,first_name,last_name,birth_date,nationality,position,preferred_foot,height,weight,team_id,matches_played,goals,assists,yellow_cards,red_cards,jersey_number,team_name
41,Samuel,Justo,2004-04-02,Portugal,"Central Midfielder",Right,178.00,70.00,2,21,1,1,1,0,96,"Casa Pia Atlético Clube"
42,Rúben,Lameiras,1994-12-22,Portugal,"Right Winger",Left,174.00,66.00,2,20,0,1,4,0,10,"Casa Pia Atlético Clube"
43,Artur,Serobyan,2003-07-02,Armenia,"Right Winger",Left,181.00,73.00,2,2,0,0,1,0,22,"Casa Pia Atlético Clube"
44,Tiago,Dias,1998-05-04,Portugal,"Left Winger",Left,175.00,67.00,2,19,1,1,1,0,77,"Casa Pia Atlético Clube"
45,Jair,Brito,2001-04-15,Brazil,"Left Winger",Left,177.00,73.00,2,12,0,0,0,0,79,"Casa Pia Atlético Clube"
46,Felippe,Cardoso,1998-10-04,Brazil,Striker,Right,187.00,83.00,2,29,6,0,7,0,30,"Casa Pia Atlético Clube"
47,Clayton,Silva,1999-01-11,Brazil,Striker,Right,184.00,88.00,2,17,0,0,4,0,99,"Casa Pia Atlético Clube"
49,André,Lacximicant,2001-05-19,Portugal,"Left Winger",Left,188.00,76.00,2,13,1,1,0,0,9,"Casa Pia Atlético Clube"
50,Yuki,Soma,1997-02-25,Japan,"Right Winger",Right,166.00,59.00,2,18,5,1,3,0,11,"Casa Pia Atlético Clube"
51,Fernando,Andrade,1993-01-08,Brazil,"Left Winger",Right,182.00,78.00,2,20,2,1,0,0,23,"Casa Pia Atlético Clube"
52,Dida,Santos,1998-04-28,Brazil,Goalkeeper,Right,188.00,74.00,3,5,0,0,0,1,98,"Clube de Futebol Estrela da Amadora"
53,António,Filipe,1985-04-14,Portugal,Goalkeeper,Left,186.00,82.00,3,3,0,0,0,0,1,"Clube de Futebol Estrela da Amadora"
54,Bruno,Brígido,1991-03-09,Brazil,Goalkeeper,Right,188.00,80.00,3,26,0,0,0,0,30,"Clube de Futebol Estrela da Amadora"
55,Edmilson,Cambila,2002-05-16,Angola,Goalkeeper,Right,187.00,80.00,3,1,0,0,0,0,89,"Clube de Futebol Estrela da Amadora"
56,Nanu,Gomes,1994-05-17,Guinea-Bissau,"Right Back",Right,177.00,69.00,3,12,0,1,2,0,31,"Clube de Futebol Estrela da Amadora"
57,Rúben,Lima,1989-10-03,Portugal,"Left Back",Left,177.00,69.00,3,14,0,1,3,0,28,"Clube de Futebol Estrela da Amadora"
58,Hevertton,Santos,2001-02-01,Brazil,"Right Back",Right,183.00,69.00,3,28,0,1,3,1,27,"Clube de Futebol Estrela da Amadora"
59,Diogo,Fonseca,2002-04-10,Portugal,"Center Back",Right,191.00,78.00,3,5,0,0,1,0,3,"Clube de Futebol Estrela da Amadora"
60,Pedro,Mendes,1990-10-01,Portugal,"Center Back",Right,186.00,78.00,3,13,0,0,0,0,5,"Clube de Futebol Estrela da Amadora"
61,Johnstone,Omurwa,1998-09-01,Kenya,"Center Back",Right,183.00,73.00,3,15,0,0,3,0,2,"Clube de Futebol Estrela da Amadora"
62,Kialonda,Gaspar,1997-09-27,Angola,"Center Back",Right,193.00,90.00,3,27,1,0,9,0,4,"Clube de Futebol Estrela da Amadora"
63,Miguel,Lopes,1986-12-19,Portugal,"Right Back",Right,183.00,80.00,3,17,0,0,2,1,13,"Clube de Futebol Estrela da Amadora"
64,Erivaldo,Almeida,2000-01-15,Brazil,"Center Back",Left,189.00,76.00,3,7,0,1,1,0,14,"Clube de Futebol Estrela da Amadora"
65,Mansur,Santos,1993-04-17,Brazil,"Center Back",Left,182.00,76.00,3,20,0,0,6,2,70,"Clube de Futebol Estrela da Amadora"
66,Nilton,Varela,2001-05-25,Portugal,"Left Back",Left,182.00,78.00,3,12,0,0,2,0,75,"Clube de Futebol Estrela da Amadora"
67,Jean,Felipe,1994-05-18,Brazil,"Right Back",Right,179.00,73.00,3,23,1,2,0,0,12,"Clube de Futebol Estrela da Amadora"
68,Nkanyiso,Shinga,2000-03-30,"South Africa","Right Back",Left,175.00,72.00,3,10,0,0,0,0,25,"Clube de Futebol Estrela da Amadora"
69,João,Reis,1992-06-24,Portugal,"Left Back",Left,174.00,66.00,3,19,0,1,3,0,17,"Clube de Futebol Estrela da Amadora"
70,Aloísio,Souza,1996-05-03,Brazil,"Defensive Midfielder",Right,180.00,76.00,3,14,0,1,6,0,6,"Clube de Futebol Estrela da Amadora"
71,Pedro,Sá,1993-12-01,Portugal,"Defensive Midfielder",Left,177.00,73.00,3,18,0,0,1,0,21,"Clube de Futebol Estrela da Amadora"
72,Manuel,Keliano,2003-01-16,Angola,"Defensive Midfielder",Right,185.00,79.00,3,9,0,0,0,0,23,"Clube de Futebol Estrela da Amadora"
73,Victor,Ferreira,1997-09-18,Portugal,"Central Midfielder",Left,180.00,74.00,3,9,0,0,0,0,18,"Clube de Futebol Estrela da Amadora"
74,Leonel,Bucca,1999-03-20,Argentina,"Central Midfielder",Left,190.00,82.00,3,15,1,0,4,0,26,"Clube de Futebol Estrela da Amadora"
75,Tashan,Oakley-Boothe,2000-02-14,England,"Central Midfielder",Right,182.00,70.00,3,2,1,0,0,0,80,"Clube de Futebol Estrela da Amadora"
76,Léo,Jabá,1998-08-02,Brazil,"Right Wing",Right,178.00,73.00,3,31,5,5,3,0,8,"Clube de Futebol Estrela da Amadora"
77,Ronald,Pereira,2001-06-14,Brazil,"Right Wing",Right,177.00,69.00,3,17,1,2,4,0,90,"Clube de Futebol Estrela da Amadora"
78,Ronaldo,Tavares,1997-07-22,Portugal,Striker,Right,194.00,90.00,3,12,1,0,2,0,9,"Clube de Futebol Estrela da Amadora"
79,Rodrigo,Pinho,1991-05-30,Brazil,Striker,Left,185.00,79.00,3,8,1,1,2,0,20,"Clube de Futebol Estrela da Amadora"
80,Kikas,Rodrigues,1998-09-17,Portugal,Striker,Right,177.00,73.00,3,31,8,1,4,0,29,"Clube de Futebol Estrela da Amadora"
81,Alioune,Ndour,2001-03-03,Senegal,Striker,Right,188.00,80.00,3,9,0,1,1,0,61,"Clube de Futebol Estrela da Amadora"
82,Régis,N'do,2001-02-25,"Burkina Faso","Right Wing",Left,181.00,76.00,3,23,1,1,7,1,7,"Clube de Futebol Estrela da Amadora"
83,Gustavo,Henrique,1999-05-24,Brazil,"Left Wing",Right,176.00,70.00,3,4,0,0,0,0,11,"Clube de Futebol Estrela da Amadora"
84,André,Luiz,2002-02-23,Brazil,Striker,Right,185.00,79.00,3,27,4,0,2,0,10,"Clube de Futebol Estrela da Amadora"
85,Marcelo,Carné,1990-02-06,Brazil,Goalkeeper,Right,188.00,92.00,4,22,0,0,3,1,31,"Grupo Desportivo Estoril Praia"
86,Dani,Figueira,1998-07-20,Portugal,Goalkeeper,Right,189.00,84.00,4,12,0,0,1,0,99,"Grupo Desportivo Estoril Praia"
87,Wagner,Pina,2002-11-03,"Cape Verde","Right Back",Right,180.00,66.00,4,22,0,1,3,0,79,"Grupo Desportivo Estoril Praia"
88,Raúl,Parra,1999-11-26,Spain,"Right Back",Right,187.00,79.00,4,13,1,1,1,0,2,"Grupo Desportivo Estoril Praia"
89,Bernardo,Vital,2000-12-29,Portugal,"Center Back",Right,187.00,77.00,4,29,1,0,5,1,3,"Grupo Desportivo Estoril Praia"
90,Volnei,Feltes,2000-04-15,Brazil,"Center Back",Right,188.00,82.00,4,21,0,2,4,0,5,"Grupo Desportivo Estoril Praia"
91,João,Basso,1997-01-13,Brazil,"Center Back",Right,187.00,79.00,4,14,1,0,2,0,13,"Grupo Desportivo Estoril Praia"
92,Erick,Cabaco,1995-04-19,Uruguay,"Center Back",Right,185.00,78.00,4,6,0,0,0,0,18,"Grupo Desportivo Estoril Praia"
93,Eliaquim,Mangala,1991-02-13,France,"Center Back",Left,188.00,80.00,4,17,1,0,3,0,22,"Grupo Desportivo Estoril Praia"
94,Pedro,Álvaro,2000-03-02,Portugal,"Center Back",Right,187.00,88.00,4,20,0,1,6,1,23,"Grupo Desportivo Estoril Praia"
95,Tiago,Araújo,2001-03-27,Portugal,"Left Back",Left,184.00,80.00,4,29,2,1,4,1,78,"Grupo Desportivo Estoril Praia"
96,Mor,Ndiaye,2000-11-22,Senegal,"Defensive Midfielder",Right,185.00,72.00,4,8,0,0,2,0,64,"Grupo Desportivo Estoril Praia"
97,Ivan,Pavlic,2001-11-10,Netherlands,"Offensive Midfielder",Right,185.00,75.00,4,5,0,0,0,0,28,"Grupo Desportivo Estoril Praia"
98,João,Marques,2002-02-13,Portugal,"Offensive Midfielder",Right,179.00,73.00,4,32,5,5,8,0,33,"Grupo Desportivo Estoril Praia"
99,Alex,Soares,1991-03-01,Portugal,"Central Midfielder",Right,179.00,73.00,4,5,0,0,0,0,6,"Grupo Desportivo Estoril Praia"
100,Vinícius,Zanocelo,2001-01-30,Brazil,"Central Midfielder",Right,185.00,80.00,4,15,1,0,3,0,7,"Grupo Desportivo Estoril Praia"
101,Jordan,Holsgrove,1999-09-10,Scotland,"Central Midfielder",Left,180.00,72.00,4,15,2,2,6,1,8,"Grupo Desportivo Estoril Praia"
102,Michel,Costa,2001-12-20,Brazil,"Central Midfielder",Left,165.00,57.00,4,13,0,1,0,0,48,"Grupo Desportivo Estoril Praia"
103,Mateus,Fernandes,2004-07-10,Portugal,"Central Midfielder",Right,178.00,73.00,4,29,1,2,6,0,82,"Grupo Desportivo Estoril Praia"
104,Rafik,Guitane,1999-05-26,Argelia,"Right Winger",Left,170.00,64.00,4,33,5,3,0,0,10,"Grupo Desportivo Estoril Praia"
105,Heriberto,Tavares,1997-02-19,Portugal,"Right Winger",Left,181.00,66.00,4,31,2,0,5,0,91,"Grupo Desportivo Estoril Praia"
106,Fabrício,Garcia,2001-05-04,"Cape Verde","Right Winger",Left,181.00,66.00,4,31,2,0,5,0,91,"Grupo Desportivo Estoril Praia"
107,Rodrigo,Gomes,2003-07-07,Portugal,"Left Winger",Left,172.00,64.00,4,10,2,0,1,0,98,"Grupo Desportivo Estoril Praia"
108,Alejandro,Marqués,2000-08-04,Venezuela,Striker,Right,189.00,76.00,4,31,9,1,3,0,9,"Grupo Desportivo Estoril Praia"
109,Cassiano,Moreira,1989-06-16,Brazil,Striker,Right,184.00,87.00,4,29,7,3,2,0,11,"Grupo Desportivo Estoril Praia"
110,João,Carlos,1995-03-01,Brazil,Striker,Right,187.00,90.00,4,20,2,0,4,0,20,"Grupo Desportivo Estoril Praia"
111,Nemanja,Jovic,2002-08-08,Serbia,"Left Winger",Right,178.00,70.00,4,2,0,0,0,0,29,"Grupo Desportivo Estoril Praia"
112,João,Valido,2000-03-03,Portugal,Goalkeeper,Right,185.00,79.00,5,1,0,0,0,0,1,"Futebol Clube de Arouca"
113,Thiago,Rodrigues,1996-06-12,Brazil,Goalkeeper,Right,188.00,80.00,5,2,0,0,0,0,16,"Futebol Clube de Arouca"
114,Ignacio,"De Arruabarrena",1997-01-16,Uruguay,Goalkeeper,Right,184.00,78.00,5,31,0,0,1,0,12,"Futebol Clube de Arouca"
115,Bogdan,Milovanov,1998-04-19,Ukraine,"Right Back",Right,178.00,73.00,5,22,0,0,4,0,22,"Futebol Clube de Arouca"
116,Bogdan,Milovanov,1998-04-19,Ukraine,"Right Back",Right,178.00,73.00,5,22,0,0,4,0,22,"Futebol Clube de Arouca"
117,Rafael,Fernandes,2002-06-28,Portugal,"Center Back",Right,191.00,83.00,5,11,0,0,2,1,64,"Futebol Clube de Arouca"
118,Tiago,Esgaio,1995-08-01,Portugal,"Right Back",Right,175.00,77.00,5,28,2,3,4,0,28,"Futebol Clube de Arouca"
119,Nino,Galovic,1992-07-06,Croatia,"Center Back",Right,184.00,82.00,5,18,0,1,2,0,44,"Futebol Clube de Arouca"
120,Robson,Bambu,1997-11-12,Brazil,"Center Back",Right,185.00,69.00,5,10,0,0,1,0,3,"Futebol Clube de Arouca"
121,Javi,Montero,1999-01-14,Spain,"Center Back",Left,185.00,77.00,5,29,1,1,9,0,4,"Futebol Clube de Arouca"
122,Matías,Rocha,2001-02-13,Uruguay,"Center Back",Right,183.00,80.00,5,11,1,0,1,1,13,"Futebol Clube de Arouca"
123,Mateus,Quaresma,1996-08-22,Brazil,"Left Back",Left,181.00,76.00,5,6,0,1,1,0,6,"Futebol Clube de Arouca"
124,Yanis,Hamache,1999-07-13,Argelia,"Left Back",Left,177.00,73.00,5,2,0,0,0,0,25,"Futebol Clube de Arouca"
125,Weverson,Costa,2000-07-05,Brazil,"Left Back",Left,185.00,73.00,5,26,1,1,3,0,26,"Futebol Clube de Arouca"
126,Oriol,Busquets,1999-01-20,Spain,"Defensive Midfielder",Right,185.00,79.00,5,18,0,0,2,0,14,"Futebol Clube de Arouca"
127,Yaw,Moses,1999-01-07,Ghana,"Central Midfielder",Right,170.00,64.00,5,3,0,0,0,0,17,"Futebol Clube de Arouca"
128,Eboué,Kouassi,1997-12-13,"Ivory Coast","Defensive Midfielder",Right,185.00,75.00,5,25,0,0,4,1,8,"Futebol Clube de Arouca"
129,Pedro,Moreira,1989-03-15,Portugal,"Defensive Midfielder",Right,182.00,77.00,5,5,0,0,1,0,8,"Futebol Clube de Arouca"
130,David,Simão,1990-05-15,Portugal,"Central Midfielder",Left,183.00,80.00,5,32,0,7,9,1,5,"Futebol Clube de Arouca"
131,Morlaye,Sylla,1998-07-27,Guinea,"Central Midfielder",Right,170.00,62.00,5,32,3,5,9,0,2,"Futebol Clube de Arouca"
132,Victor,Oliveira,2000-01-04,Brazil,"Central Midfielder",Right,175.00,65.00,5,7,0,0,0,0,43,"Futebol Clube de Arouca"
133,Pedro,Santos,2000-10-12,Portugal,"Central Midfielder",Right,183.00,73.00,5,28,1,0,6,0,89,"Futebol Clube de Arouca"
134,Jason,Remeseiro,1994-07-06,Spain,"Right Winger",Right,178.00,72.00,5,34,6,5,4,0,10,"Futebol Clube de Arouca"
135,Yusuf,Lawal,1998-03-23,Nigeria,"Left Winger",Right,175.00,70.00,5,17,0,1,1,0,7,"Futebol Clube de Arouca"
136,Alfonso,Trezza,1999-06-22,Uruguay,"Right Winger",Right,166.00,63.00,5,24,0,0,5,0,9,"Futebol Clube de Arouca"
137,André,Bukia,1995-03-03,"Dem. Rep. of Congo","Right Winger",Left,173.00,58.00,5,10,1,1,0,0,30,"Futebol Clube de Arouca"
138,Uladzislau,Marozau,2000-10-12,Belarus,Striker,Left,188.00,84.00,5,3,0,0,0,0,15,"Futebol Clube de Arouca"
139,Rafa,Mujica,1998-10-29,Spain,Striker,Right,183.00,73.00,5,30,20,3,4,1,19,"Futebol Clube de Arouca"
140,Miguel,Puche,2001-04-30,Spain,"Left Winger",Right,180.00,75.00,5,23,0,0,0,0,11,"Futebol Clube de Arouca"
141,Cristo,González,1997-10-24,Spain,"Left Winger",Right,178.00,80.00,5,34,15,9,4,0,23,"Futebol Clube de Arouca"
142,Ivan,Zlobin,1997-03-07,Russia,Goalkeeper,Right,191.00,84.00,6,1,0,0,1,0,1,"Futebol Clube de Famalicão"
143,Luiz,Júnior,2001-01-14,Brazil,Goalkeeper,Left,192.00,96.00,6,33,0,0,2,0,31,"Futebol Clube de Famalicão"
144,Nathan,Santos,2001-09-05,Brazil,"Right Back",Right,183.00,80.00,6,16,0,0,8,0,22,"Futebol Clube de Famalicão"
145,Martín,Aguirregabiria,1996-05-10,Spain,"Right Back",Right,178.00,74.00,6,24,0,0,4,0,32,"Futebol Clube de Famalicão"
146,Enea,Mihaj,1998-07-05,Albania,"Center Back",Right,186.00,81.00,6,18,0,0,5,0,4,"Futebol Clube de Famalicão"
147,Otávio,Ataíde,2002-04-21,Brazil,"Center Back",Left,187.00,81.00,6,29,2,1,7,0,13,"Futebol Clube de Famalicão"
148,Riccieli,Júnior,1998-09-17,Brazil,"Center Back",Left,184.00,76.00,6,24,1,1,7,2,15,"Futebol Clube de Famalicão"
149,Justin,"de Haas",2000-02-01,Netherlands,"Center Back",Left,194.00,87.00,6,22,1,0,5,1,16,"Futebol Clube de Famalicão"
150,Francisco,Moura,1999-08-16,Portugal,"Left Back",Left,182.00,80.00,6,33,1,4,7,0,74,"Futebol Clube de Famalicão"
151,Mirko,Topic,2001-02-05,Serbia,"Defensive Midfielder",Right,190.00,84.00,6,32,0,2,6,0,8,"Futebol Clube de Famalicão"
152,Gustavo,Assunção,2000-03-30,Brazil,"Defensive Midfielder",Right,178.00,70.00,6,20,0,0,5,1,12,"Futebol Clube de Famalicão"
153,Zaydou,Youssouf,1999-07-11,France,"Defensive Midfielder",Left,182.00,77.00,6,32,2,1,10,1,28,"Futebol Clube de Famalicão"
154,Otso,Liimatta,2004-07-10,Finland,"Offensive Midfielder",Right,169.00,63.00,6,12,0,0,0,0,18,"Futebol Clube de Famalicão"
155,Gustavo,Sá,2004-11-11,Portugal,"Offensive Midfielder",Right,189.00,83.00,6,28,3,5,6,0,20,"Futebol Clube de Famalicão"
156,Tom,Lacoux,2002-01-25,France,"Central Midfielder",Right,182.00,76.00,6,9,0,0,1,0,6,"Futebol Clube de Famalicão"
157,Filipe,Soares,1999-05-20,Portugal,"Central Midfielder",Right,180.00,72.00,6,0,0,0,2,0,19,"Futebol Clube de Famalicão"
158,Óscar,Aranda,2002-04-29,Spain,"Right Winger",Right,181.00,84.00,6,21,1,0,3,0,11,"Futebol Clube de Famalicão"
159,Alex,Dobre,1998-08-30,Romania,"Left Winger",Right,185.00,77.00,6,14,0,0,0,0,23,"Futebol Clube de Famalicão"
160,Marcos,Sorriso,2001-02-23,Brazil,"Left Winger",Right,175.00,67.00,6,15,1,2,1,0,77,"Futebol Clube de Famalicão"
161,Théo,Fonseca,2000-06-11,Portugal,"Right Winger",Right,178.00,66.00,6,14,2,0,0,0,95,"Futebol Clube de Famalicão"
162,Henrique,Araújo,2002-01-19,Portugal,Striker,Right,182.00,78.00,6,20,0,0,1,0,9,"Futebol Clube de Famalicão"
163,Jhonder,Cádiz,1995-07-29,Venezuela,Striker,Right,190.00,84.00,6,30,15,0,9,1,29,"Futebol Clube de Famalicão"
164,Puma,Rodríguez,1998-06-19,Panama,"Left Winger",Left,180.00,76.00,6,23,1,5,3,1,7,"Futebol Clube de Famalicão"
165,Chiquinho,Oliveira,2000-02-05,Portugal,"Left Winger",Right,179.00,66.00,6,27,5,3,11,1,10,"Futebol Clube de Famalicão"
166,Cláudio,Ramos,1991-11-16,Portugal,Goalkeeper,Right,183.00,83.00,7,2,0,0,0,0,14,"Futebol Clube do Porto"
167,Diogo,Costa,1999-09-19,Portugal,Goalkeeper,Right,186.00,82.00,7,33,0,0,0,1,99,"Futebol Clube do Porto"
168,Jorge,Sánchez,1997-12-10,Mexico,"Right Back",Right,175.00,69.00,7,14,0,2,3,0,15,"Futebol Clube do Porto"
169,João,Mário,2000-01-03,Portugal,"Right Back",Right,178.00,66.00,7,27,2,1,5,0,23,"Futebol Clube do Porto"
170,Martim,Fernandes,2006-01-18,Portugal,"Right Back",Right,181.00,69.00,7,4,0,1,1,0,52,"Futebol Clube do Porto"
171,Fábio,Cardoso,1994-04-19,Portugal,"Center Back",Right,187.00,82.00,7,18,1,2,4,2,2,"Futebol Clube do Porto"
172,Pepe,Ferreira,1983-02-26,Portugal,"Center Back",Right,187.00,79.00,7,22,1,1,4,2,3,"Futebol Clube do Porto"
173,David,Carmo,1999-07-19,Angola,"Center Back",Left,196.00,84.00,7,7,0,0,6,1,4,"Futebol Clube do Porto"
174,Iván,Marcano,1987-06-23,Spain,"Center Back",Left,189.00,82.00,7,5,2,0,1,0,5,"Futebol Clube do Porto"
175,Otávio,Ataíde,2002-04-21,Brazil,"Center Back",Left,187.00,81.00,7,29,2,1,7,0,31,"Futebol Clube do Porto"
176,Zé,Pedro,1997-06-06,Portugal,"Center Back",Right,187.00,84.00,7,12,2,0,1,0,97,"Futebol Clube do Porto"
177,João,Mendes,2000-04-13,Portugal,"Left Back",Right,179.00,73.00,7,5,0,1,0,0,55,"Futebol Clube do Porto"
178,Zaidu,Sanusi,1997-06-13,Nigeria,"Left Back",Left,182.00,74.00,7,5,1,0,0,0,12,"Futebol Clube do Porto"
179,Wendell,Borges,1993-07-20,Brazil,"Left Back",Left,178.00,72.00,7,25,4,2,11,1,18,"Futebol Clube do Porto"
180,Marko,Grujic,1996-04-13,Serbia,"Defensive Midfielder",Right,191.00,78.00,7,10,0,1,1,0,8,"Futebol Clube do Porto"
181,Alan,Varela,2001-07-04,Argentina,"Defensive Midfielder",Right,177.00,74.00,7,30,2,3,8,0,22,"Futebol Clube do Porto"
182,Pepê,Gabriel,1997-02-24,Brazil,"Offensive Midfielder",Right,175.00,69.00,7,34,4,6,4,0,11,"Futebol Clube do Porto"
183,Iván,Jaime,2000-09-26,Spain,"Offensive Midfielder",Right,180.00,73.00,7,21,1,0,0,0,17,"Futebol Clube do Porto"
184,André,Franco,1998-04-12,Portugal,"Offensive Midfielder",Left,177.00,73.00,7,15,0,1,1,0,20,"Futebol Clube do Porto"
185,Stephen,Eustáquio,1996-12-21,Canada,"Central Midfielder",Right,177.00,70.00,7,28,2,2,3,0,6,"Futebol Clube do Porto"
186,Nico,González,2002-01-03,Spain,"Central Midfielder",Right,188.00,90.00,7,25,2,1,7,0,16,"Futebol Clube do Porto"
187,Romário,Baró,2000-01-25,Portugal,"Central Midfielder",Right,180.00,66.00,7,10,0,0,0,0,28,"Futebol Clube do Porto"
188,Francisco,Conceição,2002-12-14,Portugal,"Right Winger",Left,169.00,64.00,7,27,5,4,11,1,10,"Futebol Clube do Porto"
189,Gonçalo,Borges,2001-03-29,Portugal,"Right Winger",Right,184.00,69.00,7,17,0,2,2,0,70,"Futebol Clube do Porto"
190,Mehdi,Taremi,1992-07-18,Iran,Striker,Right,187.00,83.00,7,23,6,4,3,0,9,"Futebol Clube do Porto"
191,Danny,Namaso,2000-08-28,England,Striker,Right,182.00,80.00,7,16,1,2,1,0,19,"Futebol Clube do Porto"
